flightDate,flightNo,regNo,status,destAirportName,ptd,atd,depDelayTime,depTerminal,gate,eta
2024-04-19,5X6077,,到达,安克雷奇泰德史蒂文斯国际,08:50,,0,,待定,14:31
2024-04-19,ZH8017,B1477,到达,胡志明市新山一国际,23:40,00:01,延误21,T3,2,01:15
2024-04-19,ZH9005,B6855,到达,曼谷素万那普国际,23:50,00:04,延误14,T3,11,01:27
2024-04-19,MU5350,B6099,到达,上海虹桥,18:30,00:07,延误337,T3,506,01:51
2024-04-19,DZ6259,B1575,到达,海口美兰,23:59,00:09,延误10,T3,48,01:10
2024-04-19,ZH9087,B8636,到达,河内内排国际,23:55,00:13,延误18,T3,7,00:49
2024-04-19,CZ2166,B6191,到达,台州路桥,16:20,00:14,延误474,T3,47,01:43
2024-04-19,ZH9113,B1072,到达,北京首都,22:35,00:18,延误103,T3,504,03:45
2024-04-19,CZ8675,B9917,到达,济宁大安,21:00,00:21,延误201,T3,566A,02:39
2024-04-19,CZ5919,B8992,到达,重庆江北,20:20,00:26,延误246,T3,549A,02:51
2024-04-19,HU7357,B1543,到达,重庆江北,23:20,00:34,延误74,T3,546,02:28
2024-04-19,HU7750,B5580,到达,三亚凤凰,23:10,00:37,延误87,T3,528A,01:48
2024-04-19,ZH9139,B6286,到达,运城盐湖,23:10,00:45,延误95,T3,530,03:06
2024-04-19,8L9890,B1798,到达,昆明长水,23:00,00:46,延误106,T3,56,02:46
2024-04-19,CZ3673,B1409,到达,贵阳龙洞堡,20:10,00:50,延误280,T3,57,02:58
2024-04-19,MU285,B8559,到达,曼谷素万那普国际,00:15,00:53,延误38,T3,11,02:19
2024-04-19,HU7022,B5581,到达,海口美兰,23:05,00:58,延误113,T3,49,01:58
2024-04-19,GJ8298,B8147,到达,菏泽牡丹,19:30,01:03,延误333,T3,50B,03:20
2024-04-19,ZH9065,B8865,到达,巴塞罗那,01:00,01:14,延误14,T3,10,08:50
2024-04-19,8L9980,B305W,到达,昆明长水,23:55,01:14,延误79,T3,21,03:10
2024-04-19,EU2214,B8186,到达,兴义万峰林,23:00,01:16,延误136,T3,35,03:00
2024-04-19,ZH9011,B1376,到达,马尼拉尼诺伊阿基诺,23:10,01:45,延误155,T3,8,03:44
2024-04-19,CZ5360,B1920,到达,义乌,22:45,01:48,延误183,T3,505B,03:29
2024-04-19,ZH9313,B8181,到达,海口美兰,23:59,01:52,延误113,T3,58,02:47
2024-04-19,KN5852,B7562,到达,北京大兴,21:10,01:55,延误285,T3,509,04:34
2024-04-19,ZH9305,B5615,到达,郑州新郑,22:30,01:58,延误208,T3,60,03:56
2024-04-19,HU759,B207V,到达,布鲁塞尔,01:30,02:00,延误30,T3,3,07:40
2024-04-19,CZ3641,B32GH,到达,重庆江北,20:55,02:03,延误308,T3,508,04:09
2024-04-19,HU757,B208S,到达,巴黎戴高乐,02:00,02:24,延误24,T3,11,08:25
2024-04-19,CA867,B307C,到达,约翰内斯堡国际,01:50,02:30,延误40,T3,9,09:29
2024-04-19,GS6450,B8389,到达,重庆江北,22:25,02:38,延误253,T3,33,04:21
2024-04-19,HU7557,B1793,到达,重庆江北,23:00,02:47,延误227,T3,29,04:27
2024-04-19,ZH9431,B7083,到达,重庆江北,21:10,02:57,延误347,T3,69,04:35
2024-04-19,HU7712,B2730,到达,北京首都,22:50,03:25,延误275,T3,38,06:06
2024-04-19,CZ6610,B9915,到达,长春龙嘉,18:55,03:28,延误513,T3,77,07:24
2024-04-19,CZ3744,B8997,到达,哈尔滨太平,19:05,03:34,延误509,T3,54,07:36
2024-04-19,ZH9217,B326G,到达,西安咸阳,22:50,03:41,延误291,T3,42,05:56
2024-04-19,5X119,N311UP,到达,东京成田,03:10,03:43,延误33,,待定,08:28
2024-04-19,AK129,9MAQB,到达,吉隆坡国际,03:20,03:50,延误30,,1,07:38
2024-04-19,5X138,N371UP,到达,安吉利斯克拉克国际,03:20,04:05,延误45,,待定,05:42
2024-04-19,CA1398,B2445,到达,北京首都,22:00,04:06,延误366,T3,22,06:54
2024-04-19,SQ857,9VMBH,到达,新加坡樟宜,03:25,04:09,延误44,,2,07:40
2024-04-19,5X146,N347UP,到达,吉隆坡国际,03:35,04:14,延误39,,待定,07:39
2024-04-19,5X196,N306UP,到达,首尔仁川国际,03:35,04:14,延误39,,待定,08:06
2024-04-19,FD599,HSBBL,到达,曼谷廊曼,04:00,04:38,延误38,,9,05:59
2024-04-19,Z2809,RPC8947,到达,马尼拉尼诺伊阿基诺,03:45,04:51,延误66,,3,06:37
2024-04-19,HU7716,B2739,到达,北京首都,22:10,04:56,延误406,T3,21,07:45
2024-04-19,CI5928,B18723,到达,台北桃园,03:50,05:00,延误70,,待定,06:08
2024-04-19,SL903,HSLUQ,到达,曼谷廊曼,03:30,05:05,延误95,,4,06:37
2024-04-19,5X127,N324UP,到达,大阪关西国际,03:45,05:11,延误86,,待定,09:15
2024-04-19,5X9,N611UP,到达,班加罗尔,04:55,05:17,延误22,,待定,07:43
2024-04-19,3S587,DAALE,到达,莱比锡,05:00,05:23,延误23,,待定,11:31
2024-04-19,5X15,N605UP,到达,曼谷素万那普国际,05:00,05:42,延误42,,待定,07:04
2024-04-19,5X71,N628UP,到达,安克雷奇泰德史蒂文斯国际,05:05,05:49,延误44,,待定,22:45
2024-04-19,PO752,N857GT,到达,东京成田,02:30,05:51,延误201,,待定,10:27
2024-04-19,ET3013,ETAVN,到达,列日,04:30,05:53,延误83,,待定,12:11
2024-04-19,T5620,EZF429,到达,阿什哈巴德,05:20,06:03,延误43,,待定,11:12
2024-04-19,5Y8228,N850GT,到达,安克雷奇泰德史蒂文斯国际,05:00,06:04,延误64,,待定,23:44
2024-04-19,DZ6245,B1104,到达,西双版纳嘎洒,06:10,06:16,延误6,T3,63,08:43
2024-04-19,CZ2868,B6187,到达,重庆江北,23:00,06:20,延误440,T3,56,10:25
2024-04-19,9C8671,B6612,到达,淮安涟水,06:15,06:21,延误6,T3,30,08:16
2024-04-19,9C6481,B8000,到达,东营胜利,06:20,06:26,延误6,T3,76,09:02
2024-04-19,9C8753,B329U,到达,西安咸阳,06:25,06:29,延误4,T3,567,08:42
2024-04-19,Y87565,B1391,到达,上海浦东,06:20,06:31,延误11,T3,72,08:22
2024-04-19,HU7763,B1793,到达,兰州中川,06:25,06:32,延误7,T3,36,09:46
2024-04-19,NS3656,B1749,到达,石家庄正定,23:55,06:32,延误397,T3,45,09:14
2024-04-19,9C7194,B8700,到达,南京禄口,06:15,06:34,延误19,T3,51,08:17
2024-04-19,9C8613,B1627,到达,重庆江北,06:30,06:36,延误6,T3,43,08:43
2024-04-19,CZ3568,B32GH,到达,上海虹桥,06:30,06:37,延误7,T3,56,08:23
2024-04-19,Y87527,B5685,到达,呼和浩特白塔,06:35,06:39,延误4,T3,57,09:27
2024-04-19,DZ6241,B7630,到达,连云港花果山,06:30,06:40,延误10,T3,545B,08:42
2024-04-19,MF8043,B7816,到达,杭州萧山,06:35,06:43,延误8,T3,528A,08:15
2024-04-19,SC4686,B7567,到达,青岛胶东,23:59,06:43,延误404,T3,31,09:14
2024-04-19,ZH9297,B1939,到达,郑州新郑,06:45,06:45,0,T3,55,08:44
