Date,Rainfall/mm
2024-04-01,13.56
2024-04-02,0.38
2024-04-03,0.81
2024-04-04,0.46
2024-04-05,3.06
2024-04-06,6.43
2024-04-07,9.03
2024-04-08,8.16
2024-04-09,2.33
2024-04-10,0.58
2024-04-11,0.0
2024-04-12,0.0
2024-04-13,0.0
2024-04-14,0.38
2024-04-15,0.0
2024-04-16,0.38
2024-04-17,0.9
2024-04-18,3.87
2024-04-19,2.5
2024-04-20,1.72
2024-04-21,9.66
2024-04-22,19.01
2024-04-23,47.44
2024-04-24,17.18
2024-04-25,20.35
2024-04-26,78.85
2024-04-27,7.62
2024-04-28,40.06
2024-04-29,0.81
2024-04-30,14.02
2024-05-01,68.86
2024-05-02,2.33
2024-05-03,4.74
2024-05-04,19.01
2024-05-05,4.43
2024-05-06,1.45
2024-05-07,8.73
2024-05-08,11.44
2024-05-09,0.81
2024-05-10,0.38
2024-05-11,1.77
2024-05-12,6.22
2024-05-13,13.56
2024-05-14,1.26
2024-05-15,0.0
2024-05-16,0.0
2024-05-17,5.43
2024-05-18,2.67
2024-05-19,12.24
2024-05-20,38.72
2024-05-21,19.01
2024-05-22,17.18
2024-05-23,34.98
2024-05-24,32.69
2024-05-25,0.64
2024-05-26,3.62
2024-05-27,22.53
2024-05-28,41.43
2024-05-29,0.0
2024-05-30,0.38
2024-05-31,11.44
2024-06-01,40.06
2024-06-02,8.44
2024-06-03,118.38
2024-06-04,4.91
2024-06-05,10.69
2024-06-06,4.01
2024-06-07,21.77
2024-06-08,4.14
2024-06-09,87.28
2024-06-10,0.0
2024-06-11,4.01
2024-06-12,1.19
2024-06-13,0.4
2024-06-14,41.43
2024-06-15,76.22
