,Date,Temperature,Dew point,Winds,Visibility,Clouds,Altimeter,Relative humidity,Density altitude,Remarks,Flight conditions,Raw data,Heat index,Present weather,Wind gusts,Winds variable
0,2024-04-19 00:00:00,26.0°C (78.8°F),22.0°C (71.6°F),"7.8 kts (4 m/s, 8.9 mph) East-Southeast (110°)",6.2 mi. (10 km),"Scattered clouds 3,000 ft. (914 m)",29.80 in.Hg (1009 mB),79 %,"1,770 ft. (540 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 181600Z 11004MPS 9999 SCT030 26/22 Q1009 NOSIG,,,,
1,2024-04-19 01:00:00,26.0°C (78.8°F),22.0°C (71.6°F),"7.8 kts (4 m/s, 8.9 mph) East-Southeast (110°)",6.2 mi. (10 km),"Scattered clouds 3,600 ft. (1,097 m)",29.77 in.Hg (1008 mB),79 %,"1,804 ft. (550 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 181700Z 11004MPS 9999 SCT036 26/22 Q1008 NOSIG,,,,
2,2024-04-19 02:00:00,26.0°C (78.8°F),23.0°C (73.4°F),"7.8 kts (4 m/s, 8.9 mph) East-Southeast (110°)",6.2 mi. (10 km),"Scattered clouds 3,600 ft. (1,097 m)",29.74 in.Hg (1007 mB),84 %,"1,859 ft. (567 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 181800Z 11004MPS 9999 SCT036 26/23 Q1007 NOSIG,,,,
3,2024-04-19 03:00:00,26.0°C (78.8°F),23.0°C (73.4°F),"7.8 kts (4 m/s, 8.9 mph) East-Southeast (110°)",6.2 mi. (10 km),"Scattered clouds 3,600 ft. (1,097 m)",29.71 in.Hg (1006 mB),84 %,"1,893 ft. (577 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 181900Z 11004MPS 9999 SCT036 26/23 Q1006 NOSIG,,,,
4,2024-04-19 04:00:00,26.0°C (78.8°F),24.0°C (75.2°F),"7.8 kts (4 m/s, 8.9 mph) East-Southeast (110°)",6.2 mi. (10 km),"Few clouds 2,100 ft. (640 m) Scattered clouds 3,600 ft. (1,097 m)",29.74 in.Hg (1007 mB),89 %,"1,881 ft. (573 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 182000Z 11004MPS 9999 FEW021 SCT036 26/24 Q1007 NOSIG,,,,
5,2024-04-19 05:00:00,26.0°C (78.8°F),23.0°C (73.4°F),"9.7 kts (5 m/s, 11.2 mph) East-Southeast (120°)",6.2 mi. (10 km),"Scattered clouds 3,600 ft. (1,097 m)",29.74 in.Hg (1007 mB),84 %,"1,859 ft. (567 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 182100Z 12005MPS 9999 SCT036 26/23 Q1007 NOSIG,,,,
6,2024-04-19 06:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"13.6 kts (7 m/s, 15.7 mph) South-Southeast (150°)",,Sky clear,29.74 in.Hg (1007 mB),84 %,"1,994 ft. (608 m)",Ceiling and visibility OK No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 182200Z 15007MPS CAVOK 27/24 Q1007 NOSIG,30.1°C (86.2°F),,,
7,2024-04-19 07:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"13.6 kts (7 m/s, 15.7 mph) South-Southeast (150°)",6.2 mi. (10 km),"Few clouds 3,000 ft. (914 m) Scattered clouds 5,000 ft. (1,524 m)",29.74 in.Hg (1007 mB),84 %,"1,994 ft. (608 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 182300Z 15007MPS 9999 FEW030 SCT050 27/24 Q1007 NOSIG,30.1°C (86.2°F),,,
8,2024-04-19 08:00:00,28.0°C (82.4°F),24.0°C (75.2°F),"13.6 kts (7 m/s, 15.7 mph) South-Southeast (160°)",6.2 mi. (10 km),"Few clouds 3,000 ft. (914 m)",29.77 in.Hg (1008 mB),79 %,"2,072 ft. (632 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 190000Z 16007MPS 9999 FEW030 28/24 Q1008 NOSIG,32.0°C (89.6°F),,,
9,2024-04-19 09:00:00,28.0°C (82.4°F),23.0°C (73.4°F),"13.6 kts (7 m/s, 15.7 mph) South-Southeast (160°)",6.2 mi. (10 km),"Few clouds 2,300 ft. (701 m) Ceiling: Broken clouds 3,300 ft. (1,006 m)",29.77 in.Hg (1008 mB),74 %,"2,050 ft. (625 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 190100Z 16007MPS 9999 FEW023 BKN033 28/23 Q1008 NOSIG,31.4°C (88.5°F),,,
10,2024-04-19 10:00:00,28.0°C (82.4°F),24.0°C (75.2°F),"15.6 kts (8 m/s, 17.9 mph) South-Southeast (150°)",6.2 mi. (10 km),"Few clouds 2,300 ft. (701 m)",29.74 in.Hg (1007 mB),79 %,"2,106 ft. (642 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 190200Z 15008MPS 9999 -SHRA FEW023 28/24 Q1007 NOSIG,32.0°C (89.6°F),Light rain showers,,
11,2024-04-19 11:00:00,28.0°C (82.4°F),24.0°C (75.2°F),"17.5 kts (9 m/s, 20.1 mph) South-Southeast (160°)",6.2 mi. (10 km),"Few clouds 2,200 ft. (671 m) Few clouds with cumulonimbus 3,300 ft. (1,006 m)",29.77 in.Hg (1008 mB),79 %,"2,072 ft. (632 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 190300Z 16009MPS 9999 FEW022 FEW033CB 28/24 Q1008 NOSIG,32.0°C (89.6°F),,,
12,2024-04-19 12:00:00,28.0°C (82.4°F),24.0°C (75.2°F),"17.5 kts (9 m/s, 20.1 mph) South (170°)",6.2 mi. (10 km),"Few clouds 1,800 ft. (549 m) Few clouds with cumulonimbus 2,400 ft. (732 m)",29.74 in.Hg (1007 mB),79 %,"2,106 ft. (642 m)",,Visual Meteorological Conditions,ZGSZ 190400Z 17009MPS 9999 TS FEW018 FEW024CB 28/24 Q1007 BECMG AT0420 TSRA,32.0°C (89.6°F),Thunderstorm,,
13,2024-04-19 13:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"15.6 kts (8 m/s, 17.9 mph) South (170°)",6.2 mi. (10 km),"Few clouds 1,800 ft. (549 m) Few clouds with cumulonimbus 2,700 ft. (823 m) Ceiling: Broken clouds 4,000 ft. (1,219 m)",29.74 in.Hg (1007 mB),84 %,"1,994 ft. (608 m)",,Visual Meteorological Conditions,ZGSZ 190500Z 17008MPS 9999 -TSRA FEW018 FEW027CB BKN040 27/24 Q1007 BECMG AT0530 -SHRA,30.1°C (86.2°F),Light thunderstorm with rain,,
